qid,band,lawyer_rank,lawyer_cosine,lang_tag,labelled_act,labelled_provision,question,lawyer_answer
prot_0000_02,middle,24,0.6094,english,"1The Penal Code, 1860",Marrying again during lifetime of husband or wife,আমি স্নাতক (সম্মান) শেষ বর্ষের পরীক্ষা দেব। আমার সঙ্গে হিন্দুধর্মাবলম্বী একজন মেয়ের সম্পর্ক রয়েছে। আমরা দুজন দুজনকেই অনে,একজন বিবাহিত নারীকে বিবাহ করার কোনো বিধান আইনে নেই। নির্দিষ্ট নিয়মে বিবাহবিচ্ছেদ বা তালাকের পরই মেয়েটিকে পুনরায় বিবাহ 
prot_0087_01,middle,46,0.61,english,"1The Penal Code, 1860",Marrying again during lifetime of husband or wife,"১০ বছর প্রেম করার পর ২০০৪ সালে আমাদের বিয়ে হয়। বিয়ের শর্ত ছিল, ছয় মাসের মধ্যে তাকে আমার ঘরে আনতে হবে। পারিবারিক সমস্যার ",মুসলিম আইনে কিছু বিয়ে অবৈধ ও কিছু বিয়ে অনিয়মিত হিসেবে আখ্যায়িত করা হয়েছে। ইদ্দতকালে বিয়ে অনিয়মিত বিয়ের আওতায় পড়ে। অনিয়মি
prot_0065_03,middle,11,0.6107,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমার বয়স ২২ বছর। আমি স্নাতক দ্বিতীয় বর্ষে পড়ছি। যার সঙ্গে সম্পর্ক, সে আমার দূরসম্পর্কের আত্মীয়। সম্পর্ক শুরু হয় ২০০৯ সাল","আপনার বিয়েটি মুসলিম শরিয়ত মোতাবেক হয়েছিল কি না, তা চিঠিতে স্পষ্ট নয়। স্ট্যাম্প পেপারের মাধ্যমে বিয়ের কোনো বিধান মুসলিম শ"
prot_0067_03,suspect,,0.6109,mixed,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,আমি একজন চাকরিজীবী নারী। গত ২০০৯ সালের ২৮ ফেব্রুয়ারি আমার স্বামীকে তালাক দিই। আমার তিন ছেলেমেয়ে এখন আমার কাছে আছে। ২০০৯ ,"প্রথমত, আপনি নির্দিষ্ট বারের সভাপতির কাছে ওই উকিলের বিরুদ্ধে পেশাগত অসদাচরণের অভিযোগ করতে পারেন। চিঠিতে আদালতের সিদ্ধান্"
prot_0083_03,middle,15,0.6115,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,প্রথম স্ত্রীর মৃত্যুর পর আমার স্বামী আমাকে বিয়ে করেন। তাঁর আগের ঘরে তিন ছেলে ও এক মেয়ে আছে। বর্তমানে আমাদের দেড় বছর বয়সে,আপনার স্বামীর অবর্তমানে আপনি ও আপনার কন্যাসন্তান মুসলিম উত্তরাধিকার আইন অনুযায়ী আপনাদের অংশ পাবেন। এ ক্ষেত্রে কন্যাসন্তা
prot_0026_01,good,2,0.6116,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমার বাবা সাবেক সরকারি চাকরিজীবী। সারাজীবন দেখেছি সংসারে অভাব, কারণ বাবা বৈষয়িক ছিলেন না। আমি নিজের চেষ্টায় পড়াশোনা কর",মুসলিম আইনে ত্যাজ্য করার কোনো বিধান নেই। আপনার বাবার মৃত্যুর পর তাঁর ওয়ারিশ হিসেবে আপনি আপনার অংশ পেতে পারেন। তবে জীবি
prot_0062_06,good,2,0.6127,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার নানা দুই ছেলে ও তিন মেয়ে রেখে মারা যান। নানার সম্পত্তি মুসলিম আইন অনুযায়ী ছেলেমেয়েদের মধ্যে ভাগ হয়। পরবর্তীকালে আমা,"মুসলিম আইনে দত্তক দেওয়ার কোনো বিধান নেই। অতএব, আপনার মামার পালিত মেয়েটি আপনার মামার সম্পত্তির কোনো অংশীদার নয়। মুসলিম আই"
ajke_0194_01,good,1,0.6129,english,"The Hindu Women's Rights to Property Act, 1937",Devolution of property,প্রশ্ন: আমি হিন্দু পরিবারের মানুষ। আমার জেঠিমা মারা গেছেন। জ্যাঠা মারা যাওয়ার আগে জেঠিমার নামে শহরের ও গ্রামের বাড়ির অ,হিন্দু সম্প্রদায়ের নারীরা সাধারণত উত্তরাধিকারসূত্রে এবং স্ত্রীধন হিসেবে সম্পত্তি অর্জন করে থাকেন। পিতা-মাতা কিংবা স্বামী
prot_0040_03,good,1,0.6131,english,"The Muslim Family Laws Ordinance, 1961",Dissolution of marriage otherwise than by talaq,আমার মামা প্রবাসী। মামার স্ত্রী দেশে থাকেন। তিনি বেড়ানোর নাম করে মামার বাড়ি থেকে তাঁর বাপের বাড়িতে চলে যান। কিছুদিন প,"কাবিননামায় তালাক প্রদানের ক্ষমতা অর্পিত হলে আপনার মামি তালাক দিতে পারেন। আপনার মামা যেহেতু প্রবাসী, সেহেতু নোটিশটি তাঁর"
prot_0084_04,good,2,0.6143,mixed,"ডিঅক্সিরাইবোনিউক্লিক এসিড (ডিএনএ) আইন, ২০১৪",আদালতের আদেশে ডিএনএ নমুনা সংগ্রহ,আড়াই বছর আগে পারিবারিকভাবে আমার বিয়ে হয়। বিয়ের পর থেকেই আমার স্বামী আমাকে শারীরিক ও মানসিকভাবে নির্যাতন করত। নির্যাতন সই,চিঠিতে উল্লিখিত মামলায় আপনার স্বামী বিবাদী হয়ে ডিএনএ পরীক্ষার দাবি জানাচ্ছেন। এ ক্ষেত্রে আপনার স্বামীকেই ডিএনএ পরীক্ষার 
prot_0002_03,good,4,0.6152,mixed,"The Muslim Family Laws Ordinance, 1961",Talaq,"আমি একজন সরকারি ব্যাংক কর্মকর্তা। আমার স্ত্রীর সঙ্গে বিবাদের কারণে দুই বছর ধরে আমরা আলাদা থাকছি। আমাদের এক সন্তান রয়েছে,",চিঠির তথ্য অনুযায়ী দুই বছর আলাদা বসবাস করলে নারী নির্যাতনের মামলা করা সম্ভব নয়। সুতরাং ডিভোর্স লেটার পাঠানোর পর নারী ন
prot_0000_05,middle,19,0.6153,mixed,"The Code of Criminal Procedure, 1898",When bail may be taken in case of non-bailable offence,আমার মা ১০ বছর আগে একটা মামলার শিকার হন সিরাজগঞ্জে। আমাদের বাসা রংপুরে হওয়ায় এবং তিনি নারী বলে এত দূর নির্দিষ্ট তারিখগুল,আপনার মা পলাতক অবস্থায় আইনের আশ্রয় নিতে পারেন না। তাঁকে আদালতে আত্মসমর্পণ করে জামিনের (বেইল) আবেদন করতে হবে। সামর্থ্য না
prot_0010_01,middle,16,0.6155,mixed,"1The Special Marriage Act, 1872",Conditions upon which marriages under Act may be celebrated,আমার বয়স ১৯ বছর। গত চার বছর ধরে আমার একটি মেয়ের সঙ্গে গভীর সম্পর্ক চলছে। আমাদের সম্পর্ক খুব ভালোভাবেই কাটছে। দুজনে সিদ্,আপনার বিশেষ বিবাহ আইনের (স্পেশাল ম্যারেজ অ্যাক্ট) আওতায় বিবাহ করতে পারেন। তবে বিবাহের আগে আপনাদের একধরনের ডিক্লারেকশন দে
prot_0070_01,middle,23,0.6158,english,"The Guardians and Wards Act, 1890",Matters to be considered by the Court in appointing guardian,আমি সরকারি চাকরি করি। ২০০২ সালে বিয়ে করি। ২০০৩ সালে স্ত্রী চাকরি পায়। একটি সন্তান আমাদের। দুজনেই বেশ সুখী ছিলাম। কিন্তু ,মুসলিম আইনে বাবা হচ্ছেন সন্তানের আইনানুগ অভিভাবক এবং মা হচ্ছেন সন্তানের হেফাজতকারী। একজন মা ছেলেসন্তানকে তার সাত বছর বয়স
prot_0001_01,good,1,0.6165,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমার ভাই ১৬ বছর বয়সে কাজি অফিসে গিয়ে বিয়ে করে। তখন সে তার বয়স বাড়িয়ে বলেছিল। কিন্তু অফিশিয়াল কাগজে তার এবং তার স্ত্রীর ব,কাজী অফিসে প্রয়োজনীয় স্বাক্ষীসহ বিয়ে সম্পন্ন হলে সেই বিয়েকে বৈধ বিয়ে হিসেবে ধরা হবে। পুনরায় বিবাহ করতে চাইলে আপনার ভাইক
ajke_0175_01,middle,13,0.6165,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,প্রশ্ন: আমি একজন মুসলিম নারী। আমার একটি ছেলেসন্তান রয়েছে। আমার স্বামী বিয়ের পর দেশের বাইরে কাজ করতে যান। গত বছর তিনি সেখ,একজন মুসলমানের মৃত্যুর পরমুহূর্তেই তাঁর সম্পত্তিতে ওয়ারিশদের অংশ সৃষ্টি হয়। কাজেই আপনার স্বামীর মৃত্যুর পর তাঁর স্থাবর-অ
prot_0029_01,good,5,0.619,mixed,"বাল্যবিবাহ নিরোধ আইন, ২০১৭",বাল্যবিবাহ সংশ্লিষ্ট পিতা-মাতাসহ অন্যান্য ব্যক্তির শাস্তি,"আমি সিএ পড়ি। যে মেয়েটির সঙ্গে আমার সম্পর্ক, সে উচ্চমাধ্যমিক পর্যায়ে পড়ছে। দুই বছর আগে তার পরিবার জোর করে তাকে বিয়ে দিয়ে ","মেয়েটির বয়স ১৮ বছর পূর্ণ হলে আপনি তালাকের পর তাকে বিয়ে করতে পারেন। চিঠির তথ্য অনুযায়ী, মেয়েটির বয়স এখনো ১৮ বছর হয়নি। উল্"
prot_0048_06,good,7,0.6212,mixed,"The Guardians and Wards Act, 1890",Matters to be considered by the Court in appointing guardian,"আমার বিয়ে হয় ২০০১ সালে। দুটি ছেলে আছে, বয়স পাঁচ ও আড়াই বছর। বিয়ের পর থেকেই স্বামীর সঙ্গে বনিবনা হচ্ছে না। আমার স্বামীর আ",সাত বছর না হওয়া পর্যন্ত আপনার ছেলেদের হেফাজতের অধিকার আপনার। তালাক প্রদানের পর দ্বিতীয় বিবাহ না করা পর্যন্ত আপনার সেই অধ
prot_0083_04,good,8,0.6214,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমার এক জ্ঞাতি ভাইয়ের সঙ্গে চার বছর প্রেম করার পর ২০০৮ সালের ২১ এপ্রিল তাকে কাজী অফিসে নিয়ে গিয়ে গোপনে পাঁচ লাখ টাকা দেন,"যেহেতু আপনি স্বইচ্ছায় গর্ভপাত ঘটিয়েছেন, সেহেতু আপনার ওপর ফৌজদারি দায় বর্তাবে না। সাধারণত গর্ভকালীন সময় অতিক্রান্ত না হওয়"
prot_0072_05,good,7,0.6221,mixed,The Hindu Married Women's Right to Separate Residence and Ma,Grounds for claiming separate residence and maintenance,"আমি হিন্দু ধর্মাবলম্বী, একটা বেসরকারি প্রতিষ্ঠানে চাকরি করি। আমি তিন বছর ধরে একটি বিবাহিত মেয়েকে ভালোবাসি, সেও আমাকে খুব",আমাদের দেশে হিন্দু আইনে বিবাহবিচ্ছেদের কোনো সুযোগ নেই। সুতরাং বিবাহিত মেয়েটি হিন্দু ধর্মাবলম্বী হলে তাকে আইনসম্মতভাবে বি
prot_0073_02,good,9,0.6225,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বড় বোন তাঁর এক ছেলে ও মেয়ে রেখে মারা যাওয়ার পর ওই বোনজামাইয়ের সঙ্গে আমার বিয়ে হয়। বর্তমানে আমারও এক ছেলে ও এক মেয়ে।,"প্রথমত, মুসলিম উত্তরাধিকার আইন অনুযায়ী আপনার স্বামী তাঁর প্রথম স্ত্রীর অর্থাৎ আপনার বোনের পুরো সম্পত্তির চার ভাগের এক ভা"
prot_0137_01,good,1,0.6227,bengali,"গ্রাম আদালত আইন, ২০০৬",গ্রাম আদালত কর্তৃক বিচারযোগ্য মামলা,পত্রপত্রিকায় প্রায়ই খবর আসে অমুক গ্রামে গ্রাম্য সালিসে কোনো ব্যক্তি বা পরিবারকে এই বা ওই শাস্তি দেওয়া হয়েছে। দেশের প্রচল,আমাদের দেশে গ্রাম্য আদালত থাকলেও এর বিচারিক কাজের অংশ। কিন্তু গ্রাম্য সালিসের নামে গ্রামের মাতবর-মুরুব্বিরা মিলে কোনো কি
prot_0078_03,good,2,0.625,english,"1The Penal Code, 1860",Marrying again during lifetime of husband or wife,আমার খালার চার মেয়ে। সবাই ছাত্রী। খালু সরকারি চাকরি করেন। প্রায় দুই বছর হয় খালা গৃহকর্মীর সঙ্গে পালিয়ে গিয়ে তাকে বিয়ে কর,"প্রথম স্বামীর সঙ্গে বৈবাহিক সম্পর্ক থাকা অবস্থায় অন্য কাউকে বিয়ে করা শুধু অবৈধই নয়, তা দণ্ডবিধি অনুযায়ী একটি শাস্তিযোগ্য"
prot_0054_03,good,10,0.6251,mixed,"1The Penal Code, 1860",Marrying again during lifetime of husband or wife,২০০৬ সালে আমার সঙ্গে এক মেয়ের সম্পর্ক গড়ে ওঠে। এই সম্পর্ক একসময় দৈহিক সম্পর্কে রূপ নেয় এবং মেয়েটি অন্তঃসত্ত্বা হয়ে পড়ে। ,বিবাহিত থাকাকালে আপনার স্ত্রীর দ্বিতীয় বিয়ে আইনগতভাবে বৈধ নয়। এ ধরনের বিয়ের আইনগত কোনো সিদ্ধতা নেই। সুতরাং মেয়েটি এখনো আ
prot_0088_03,middle,17,0.6252,bengali,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,আমার বয়স ২৫। আমি স্নাতক (সম্মান) দ্বিতীয় বর্ষে পড়ি। চার বছর ধরে একটি মেয়ের সঙ্গে আমার সম্পর্ক। তার বয়স ১৮। গত ৭ জুলাই আম,আপনি পারিবারিক আদালতে দাম্পত্য সম্পর্ক পুনরুদ্ধারের মামলা করতে পারেন। সে ক্ষেত্রে আপনাকে প্রমাণ করতে হবে যে আপনার স্ত্রী
prot_0073_07,middle,20,0.6266,mixed,"1The Transfer of Property Act, 1882",“Gift” defined,"আমরা চার ভাই ও পাঁচ বোন। সবাই বিবাহিত। বাবা ও মা দুজনই মারা গেছেন। সব ভাইয়েরই পুত্রসন্তান আছে। আমার একটিমাত্র কন্যা, বয়স",আপনি আপনার জীবদ্দশায় আপনার স্থাবর সম্পত্তি স্ত্রী ও কন্যাকে দান করতে পারেন। দানের ক্ষেত্রে দানপত্রটি লিখিত ও রেজিস্ট্রি 
prot_0036_02,good,3,0.6268,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমার বিয়ে হয় ২০১২ সালে। এরপর আমার পরিবারে নানা ধরনের সমস্যা দেখা দেয়। আমার কোনো সন্তান নেই। বিয়েতে দেনমোহর যা ছিল বিয়ের ,দেনমোহরের অর্থ পাওনা থাকলে তা আপনার স্ত্রীর প্রাপ্য। আপনি আইনের মাধ্যমে স্ত্রীকে তালাক দিতে পারেন
prot_0049_04,good,2,0.6273,english,"The Hindu Widow's Re-marriage Act, 1856",Marriage of Hindu widows legalized,আমার বন্ধুর বড় ভাই ১১ মাস আগে বিদেশে কর্মরত অবস্থায় মারা যান। তাঁর বউয়ের বয়স ২২ বছর এবং একমাত্র ছেলের বয়স দুই বছর। তিনি ,হিন্দু আইনে কোনো পুরুষ আত্মীয়তার বন্ধনে আবদ্ধ কোনো মেয়েকে বিয়ে করতে পারেন না। তাই এ আইনে ভাইয়ের বিধবা স্ত্রীকে বিয়ে করা 
prot_0080_01,middle,47,0.628,english,"1The Transfer of Property Act, 1882",“Gift” defined,আমরা চার ভাই। আমি মেজো। ছোটবেলায় আমার চাচা ও চাচি আমাকে মৌখিকভাবে দত্তক নেন ও লালন-পালন করেন । তাঁরা ছিলেন নিঃসন্তান। পর,বাংলাদেশে প্রযোজ্য হিন্দু আইনের দায়ভাগা মতবাদ অনুযায়ী কোনো হিন্দু ধর্মাবলম্বী তাঁর স্থাবর ও অস্থাবর সম্পত্তি দান করতে পা
prot_0052_04,good,1,0.6283,english,"The Hindu Inheritance (Removal of Disabilities) Act, 1928",Persons not to be excluded from inheritance or rights in joi,আমি বাবা-মায়ের একমাত্র পুত্রসন্তান। আমার ছোট দুটি বোন আছে। ২০০৫ সালে আমি ধর্মান্তরিত হয়ে পরিবার থেকে আলাদা বসবাস করছি। প,ধর্মান্তরিত হওয়ার ফলে আপনি আপনার বাবার সম্পত্তি পাওয়ার অধিকার হারিয়েছেন। হিন্দু আইনে বাবার সম্পত্তি আপনার মায়ের জীবন স্ব
prot_0086_02,good,6,0.6284,english,"The Muslim Family Laws Ordinance, 1961",Talaq,ছয় বছর আগে কলেজে পড়ার সময় এক হিন্দুধর্মের ছেলের সঙ্গে সম্পর্ক হয়। কিছুদিন পর কাজি অফিসে আমরা বিবাহ করি; কাগজে ছেলের ধর্ম,কোনো মুসলমান পুরুষ বা নারী কিতাবি ধর্মাবলম্বী ছাড়া অন্য কোনো ধর্মাবলম্বীকে বিবাহ করতে পারে না। আপনার চিঠির বক্তব্য অনুযা
prot_0003_03,good,1,0.6286,english,"The Muslim Family Laws Ordinance, 1961",Dissolution of marriage otherwise than by talaq,২০১৩ সালে আমার বোনের বিয়ে হয়। বোন এখন তাঁর স্বামীকে তালাক দিতে চান। বিয়ে কাজি অফিসে নিবন্ধিত হয়েছিল। বর্তমানে আমার বোন ক,কাবিননামায় স্ত্রীর তালাক দেওয়ার ক্ষমতা প্রদান করা থাকলে আপনার বোন স্বামীকে তালাক দিতে পারবেন। সে ক্ষেত্রে কাজি অফিসের মা
prot_0052_03,good,1,0.6294,bengali,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,আমি মাস্টার্স শেষ করে মা-বাবার অনুরোধে চার বছর আগে আমার এক ফুফাতো বোনকে বিয়ে করি। আমার প্রতি তার আকর্ষণ প্রথম থেকেই ছিল ,আপনি পারিবারিক আদালতে দাম্পত্য সম্পর্ক পুনরুদ্ধারের মামলা করতে পারেন। তবে মেয়েটি স্বেচ্ছায় বৈবাহিক সম্পর্ক রাখতে না চাইল
prot_0038_05,good,5,0.6299,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমার বিয়ে হয় ২০০৮ সালে। এর এক বছর পর আমার একটি ছেলে হয়। বিয়েতে দেনমোহর যা ছিল তার মধ্যে কিছু টাকা বিয়ের সময় পরিশোধ করা হ,তালাকের পর আপনার স্ত্রী আপনার বিরুদ্ধে ইদ্দত চলাকালে অর্থাৎ তিন মাসের ভরণপোষণ ও দেনমোহরের জন্য আবেদন করতে পারেন। এ ছাড়া 
prot_0044_04,good,1,0.6303,mixed,"বাল্যবিবাহ নিরোধ আইন, ২০১৭",বাল্যবিবাহ করিবার শাস্তি,পাঁচ বছর আগে আমার এক চাচাতো বোনের বিয়ে হয়। তখন তাঁর বয়স ছিল মাত্র ১৫ বছর। আমার চাচাতো বোন খুব মেধাবী ছিলেন এবং বিয়ের,যদি প্রথম বিয়েটি নিয়মমাফিক হয়ে থাকে তাহলে আত্মীয়দের দাবি ছেড়ে দেওয়া তালাক হিসেবে পরিগণিত হবে না। আপনার বোনকে তালাক
prot_0089_01,middle,11,0.6304,mixed,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,২০০৪ সালে একটি ছেলের সঙ্গে আমার সম্পর্ক হয়। ২০০৫ সালের মার্চে ওই ছেলের এবং তার পরিবারের চাপের মুখে বাধ্য হয়ে আমি একটি রে,মুসলিম বিবাহ সম্পন্ন হয় মুসলিম শরিয়ত আইনে। শরিয়ত আইন অনুযায়ী যেকোনো সাবালক বা সাবালিকা বিবাহবন্ধনে আবদ্ধ হতে পারে। শরিয়ত
ajke_0159_01,good,8,0.6306,bengali,"পারিবারিক সহিংসতা (প্রতিরোধ ও সুরক্ষা) আইন, ২০১০",সুরক্ষা আদেশ,প্রশ্ন: স্বামীসহ শ্বশুরবাড়ির সবাই আমাকে শারীরিকভাবে নির্যাতন করে। এখন আমি যৌতুক নিরোধ আইনে মামলা করেছি। আমার উকিল আমাকে ,"আপনি যেভাবে নির্যাতনের শিকার হয়েছেন এবং এখন আইনি সহায়তাও বিশ্বাসঘাতকতা অনুভব করছেন, সেটি খুবই দুঃখজনক। তবে ভয়ের কিছু নেই"
prot_0038_01,good,7,0.6311,english,"The Muslim Family Laws Ordinance, 1961",Succession,আমার এক আত্মীয়ার তিন মেয়ে। কোনো ছেলে নেই। তাঁর প্রথম মেয়েটি একটি ছেলেসন্তান রেখে মারা গেছেন। আমার আত্মীয়ার ঢাকা শহরে কিছ,তাঁর মৃত্যুর পর তাঁর জীবিত স্বামী এই সম্পত্তির চার ভাগের এক ভাগ পাবেন। বাকি চার ভাগের তিন ভাগ তাঁর সন্তানেরা পাবেন। যে ম
prot_0051_03,good,2,0.6316,bengali,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,বিয়ের পর আমার স্বামী আমার সঙ্গে নানা অদ্ভুত আচরণ করত। আমাদের বিয়েতে দেনাপাওনা বা যৌতুকের কোনো উল্লেখ ছিল না। তার পরও বিয়,"আপনি আপনার মোহরানা, গয়না, জিনিসপত্র দাবি করে পারিবারিক আদালতে মামলা করতে পারেন। যে কারণেই হোক, আপনার তালাক কার্যকর হয়ে গ"
prot_0026_02,good,5,0.6319,english,"The Muslim Family Laws Ordinance, 1961",Talaq,"আমার ছোট বোন ও তার স্বামীর তালাক হয়ে গেছে প্রায় আট মাস। তালাক আমার বোনই দেয়, তার স্বামীর কাছে তিনবার তালাকের নোটিশও ",১৯৬১ সালের মুসলিম পারিবারিক আইনে সংশোধনী আনার মাধ্যমে হিল্লা বা অন্তর্বর্তীকালীন বিবাহ বাতিল করা হয়েছে। এই আইন অনুযায়ী 
prot_0077_08,middle,16,0.6323,mixed,"রিয়েল এস্টেট উন্নয়ন ও ব্যবস্থাপনা আইন, ২০১০",ডেভেলপার কর্তৃক রিয়েল এস্টেট হস্তান্তরে ব্যর্থতা,এক ডেভেলপারের সঙ্গে মোহাম্মদপুরের আদাবর ১০ নম্বর রোডে আমার আট কাঠা জমির ওপর ফ্ল্যাট নির্মাণের চুক্তি হয়েছিল। চুক্তির শর্,"আপনি যে সমস্যার কথা উল্লেখ করেছেন, তা প্রায়ই শোনা যাচ্ছে। এ ক্ষেত্রে আপনি ক্ষতিপূরণসহ আপনার জমা দেওয়া অর্থ ফেরত পাওয়ার জ"
prot_0045_04,good,3,0.6324,bengali,"বাল্যবিবাহ নিরোধ আইন, ২০১৭",বাল্যবিবাহ করিবার শাস্তি,আমার বয়স ২৯। আমি ১৯ জানুয়ারি ২০১২ তারিখে বিয়ে করি। স্ত্রীর বয়স মাত্র ১৩ বছর। কিন্তু কাবিননামায় ১৮ বছর দেখানো হয়েছে। বর্ত,নাবালিকার সঙ্গে যে সম্পর্ক করেছেন তা আইনত সিদ্ধ নয় এবং কোনো কোনোক্ষেত্রে তা দণ্ডনীয় অপরাধ। এ ক্ষেত্রে পারিবারিকভাবে সমস্
prot_0034_03,good,5,0.6326,mixed,"1The Evidence Act, 1872",Birth during marriage conclusive proof of legitimacy,আমি একজন শিক্ষিকা। বিয়ে হয়েছে ২০০৩-এ। ২০০৭-এ সন্তান হয়েছে। আমার স্বামী দীর্ঘদিন ধরে বিশ্ববিদ্যালয়ের পড়াশোনা শেষ করার চেষ,আইন অনুযায়ী আপনার স্বামীর তাঁর সন্তানের পিতৃপরিচয় অস্বীকার করার কোনো সুযোগ নেই। আপনারা আইন অনুযায়ী বিবাহ করেছেন এবং ১০ ব
prot_0006_04,good,10,0.6332,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমরা দুই বোন ও এক ভাই। আমি শুনেছি মৃত পিতার বসতবাড়ির সম্পত্তিতে মেয়েদের কোনো অধিকার থাকে না। এটা কি সত্য? তানিয়া শার,মুসলিম আইনে নারীরা যেকোনো সম্পত্তির উত্তরাধিকার হবেন। সুতরাং মৃত পিতার বসতবাড়িতে আপনাদের অধিকার আছে। আপনার মা জীবিত থ
prot_0086_04,middle,11,0.6335,english,"The Guardians and Wards Act, 1890",Matters to be considered by the Court in appointing guardian,মাসখানেক পর আমার দ্বিতীয় বিয়ে হবে। প্রথম ঘরের আমার দুই মেয়ে আছে। বড় মেয়ের বয়স নয় বছর। মাদ্রাসায় লেখাপড়া করে এবং দ্বিতীয় ,মুসলিম আইনে একজন বাবা হচ্ছেন সন্তানের আইনানুগ অভিভাবক এবং মা হচ্ছেন সন্তানের হেফাজতকারী। সাধারণত একজন মা তাঁর কন্যাসন্তা
prot_0047_02,good,5,0.6336,bengali,"বাল্যবিবাহ নিরোধ আইন, ২০১৭",সংজ্ঞা,আমি ভিন্ন ধর্মের একটি মেয়েকে ভালোবাসি। মেয়েটিও আমাকে খুব ভালোবাসে। মেয়েটি ইসলাম ধর্মে ধর্মান্তরিত হয়ে আমাকে বিয়ে করতে চা,সার্টিফিকেট অনুযায়ী আপনার ২১ এবং মেয়েটির ১৮ বছর হওয়ার পর আপনারা দুজন বিবাহ করতে পারবেন। তবে বিবাহের আগে মেয়েটাকে ইসলাম ধ
prot_0064_02,good,1,0.6349,english,"The Muslim Family Laws Ordinance, 1961",Dower,আমি ২০০৭ সালে পারিবারিকভাবে বিয়ে করি। বিয়ের আগে থেকে আমার স্ত্রীর এক ছেলের সঙ্গে প্রেম ছিল। আমি জানতাম না। বিয়ের দিনই সে,"আপনি বা আপনার স্ত্রী যে পক্ষই তালাক দিক না কেন, দেনমোহর আপনাকে পরিশোধ করতে হবে। তালাক হোক বা না হোক, দেনমোহর আপনার স্ত্র"
prot_0047_03,good,1,0.6351,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমার বিয়ে হয়েছে প্রায় আট বছর। আমার একটি ছয় বছরের ছেলে আছে। কিন্তু বিয়ের পর থেকেই স্বামীর সঙ্গে বনিবনা হচ্ছে না। আজ থেকে ,আপনার স্বামী যেহেতু তালাক সম্বন্ধে অবগত নন সেহেতু তালাকটি কার্যকর হয়নি। আপনার দ্বিতীয় বিয়েটি বৈধ বিয়ে নয়। আপনাকে আইন মোত
prot_0072_04,good,2,0.6353,mixed,"The Muslim Family Laws Ordinance, 1961",Dower,আমার বয়স ২৪ বছর। আমি একটি ছেলেকে ভালোবেসে বিয়ে করি। বিয়ের দুই বছর পর স্বামী ও শাশুড়ি আমাকে শারীরিক নির্যাতন এবং প্রচণ্ড ,স্ত্রী তালাক দিলে দেনমোহর পরিশোধ করার ক্ষেত্রে স্বামী কোনো রকম সুবিধা লাভ করেন না। স্বামী বা স্ত্রী যে-ই তালাক প্রদান কর
prot_0006_02,good,1,0.637,english,"The Muslim Family Laws Ordinance, 1961",Dissolution of marriage otherwise than by talaq,আমার বিয়ে হয়েছে দুই বছর সাত মাস। স্বামী লন্ডনে থাকেন। তাঁর সঙ্গে আমার ফোনের মাধ্যমে বিয়ে হয়েছে। বিয়ের পর এখনো তাঁর সঙ্,আপনার বিয়ের কাবিননামায় তালাক প্রদানের ক্ষমতা দেওয়া থাকলে আপনি নির্ধারিত কাজির মাধ্যমে তালাক দিতে পারেন। এ ধরনের তালাক সা
prot_0084_01,good,3,0.6372,bengali,"জাতীয় পরিচয় নিবন্ধন আইন, ২০২৩",জাতীয় পরিচয়পত্র সংশোধন,আমি স্নাতক (সম্মান) শ্রেণীতে অধ্যয়নরত। গত সংসদ নির্বাচনের সময় আমি খুলনা সিটি করপোরেশন থেকে ভোটার হই। কিন্তু নিবন্ধনের সম,"জন্মতারিখ যদিও আইনগতভাবে গুরুত্বপূর্ণ নয়, কিন্তু বর্তমানে দৈনন্দিন জীবনে নানা কাজের সঙ্গে জন্মতারিখ সম্পৃক্ত হওয়ায় এটি গ"
